EULERO scheme 	 MILSTEIN scheme 	 EULERO error 	 MILSTEIN error
0,692160362430376	0,536395441089662	0,0725596375696237	0,228324558910338
0,799064180917551	0,452554914728019	0,0343441809175513	0,312165085271981
0,709092199137282	0,462157121353742	0,0556278008627176	0,302562878646258
0,801825023377942	0,500831539233796	0,0371050233779422	0,263888460766204
0,758846863102909	0,476446430855192	0,00587313689709101	0,288273569144808
0,783601225198783	0,473661280259736	0,0188812251987827	0,291058719740264
0,783233303430271	0,49295064107129	0,0185133034302714	0,27176935892871
0,729402510558873	0,475080018039359	0,0353174894411273	0,289639981960641
0,736214190730957	0,474316708600022	0,0285058092690429	0,290403291399978
0,784130443246694	0,485579947769007	0,0194104432466944	0,279140052230993
0,737756011480648	0,495410922424551	0,0269639885193524	0,269309077575448
0,778529532559869	0,497530990034184	0,0138095325598689	0,267189009965816
0,776394400110121	0,483624047596767	0,0116744001101207	0,281095952403233
0,75498059419994	0,475242892266667	0,00973940580006027	0,289477107733333
0,767794833695579	0,488404867927382	0,00307483369557937	0,276315132072618
0,743532725426678	0,48385410201909	0,0211872745733221	0,28086589798091
0,756485972375258	0,473259404817067	0,0082340276247419	0,291460595182933
0,75901470515323	0,478159907590279	0,00570529484677007	0,286560092409721
0,782076266452653	0,479121451357243	0,0173562664526534	0,285598548642757
0,779351370890239	0,502519571670279	0,0146313708902391	0,262200428329721
0,775050052523091	0,481030262229799	0,0103300525230907	0,283689737770201
0,762182812405306	0,478948993499057	0,00253718759469423	0,285771006500943
0,772422496274389	0,480294098288581	0,00770249627438879	0,284425901711418
0,758501317739359	0,504874335255785	0,00621868226064093	0,259845664744215
0,754849266302166	0,476735162881432	0,00987073369783431	0,287984837118568
0,770277742920516	0,470160665242308	0,0055577429205157	0,294559334757692
0,769686438812994	0,479836735225171	0,00496643881299419	0,284883264774829
0,772094529321473	0,483060843840159	0,00737452932147264	0,281659156159841
0,775938055192238	0,48611700322468	0,0112180551922385	0,27860299677532
0,757438679793789	0,4963684484883	0,00728132020621131	0,2683515515117
0,738990189006121	0,479674585671688	0,0257298109938787	0,285045414328312
0,7779629896072	0,48030185114411	0,0132429896071996	0,28441814885589
0,755916877890186	0,485697444608962	0,00880312210981349	0,279022555391038
0,772387600155576	0,460028708591525	0,00766760015557555	0,304691291408475
0,768469783339632	0,486264114523438	0,00374978333963161	0,278455885476562
0,766859609409536	0,487851599707741	0,00213960940953606	0,276868400292259
0,770916734956397	0,488970424453448	0,00619673495639739	0,275749575546552
0,761913835932624	0,478731038527188	0,00280616406737633	0,285988961472812
0,778110229532568	0,488876311251267	0,0133902295325681	0,275843688748733
0,771867657358011	0,47768197757909	0,00714765735801126	0,287038022420909
0,767824587467739	0,476996860915656	0,00310458746773912	0,287723139084344
0,756681143487116	0,492540725525769	0,00803885651288427	0,272179274474231
0,767578252208154	0,471111138180781	0,00285825220815383	0,293608861819219
0,756260745898795	0,472654695882748	0,00845925410120452	0,292065304117252
0,767112112120038	0,492030166417299	0,00239211212003765	0,272689833582701
0,764202533950604	0,483314118017311	0,000517466049396287	0,281405881982689
0,765541480441741	0,492388562836578	0,000821480441740907	0,272331437163422
0,763740330877638	0,478787944390032	0,000979669122362359	0,285932055609968
0,753314780505135	0,479538777362086	0,0114052194948646	0,285181222637914
0,756062831387156	0,478716984645987	0,0086571686128436	0,286003015354013
0,769502007711512	0,479942524593913	0,00478200771151238	0,284777475406087
0,750594762336483	0,474841064092707	0,0141252376635167	0,289878935907293
0,765518991973184	0,482783108355222	0,000798991973184338	0,281936891644778
0,761965693167821	0,478908713529236	0,00275430683217848	0,285811286470764
0,743293501614672	0,494666507703621	0,0214264983853276	0,270053492296379
0,758691179587643	0,481614039702151	0,00602882041235675	0,283105960297849
0,761527590685849	0,467178201481722	0,00319240931415077	0,297541798518278
0,766434879053068	0,482136759120579	0,00171487905306844	0,282583240879421
0,758914739797969	0,479917037835534	0,00580526020203143	0,284802962164466
0,765352787980756	0,476183271374613	0,000632787980756389	0,288536728625387
0,749045663050262	0,474177479688764	0,0156743369497375	0,290542520311236
0,767757838048267	0,485184759668531	0,00303783804826696	0,279535240331469
0,765161170378212	0,473402458018741	0,00044117037821223	0,291317541981259
0,765808422998798	0,480466080736002	0,00108842299879841	0,284253919263998
0,757132593336819	0,481310174858606	0,00758740666318125	0,283409825141394
0,764805611972911	0,481474166029585	8,5611972911237E-05	0,283245833970415
0,762611228741565	0,47639555271799	0,00210877125843489	0,28832444728201
0,77434405547483	0,490294061442068	0,00962405547482992	0,274425938557932
0,767045212877618	0,483023796266049	0,00232521287761822	0,281696203733951
0,768049324885359	0,480199493054685	0,00332932488535898	0,284520506945315
0,760505758407636	0,475951433269438	0,0042142415923635	0,288768566730562
0,758409119521155	0,473344739802516	0,00631088047884509	0,291375260197484
0,757917905208034	0,478139524538926	0,00680209479196547	0,286580475461074
0,763152519531705	0,475077554992651	0,00156748046829502	0,289642445007349
0,778901813736663	0,491273164489663	0,0141818137366634	0,273446835510337
0,775885486680686	0,471927933810811	0,0111654866806864	0,292792066189189
0,758625474708059	0,484052646909004	0,0060945252919411	0,280667353090996
0,759838045738476	0,473316410462525	0,00488195426152438	0,291403589537475
0,762183486234733	0,4751046901358	0,00253651376526731	0,2896153098642
0,770575175372533	0,481363943650691	0,00585517537253288	0,283356056349309
0,766323003890205	0,476577294627706	0,00160300389020485	0,288142705372294
0,754209679797083	0,469094543489874	0,0105103202029165	0,295625456510126
0,76755693581592	0,476262274133714	0,00283693581592026	0,288457725866286
0,760535296790922	0,476023791954345	0,00418470320907782	0,288696208045655
0,771233549783055	0,485552817976747	0,00651354978305507	0,279167182023253
0,762882734165877	0,482834573516798	0,00183726583412291	0,281885426483202
0,761674138257268	0,480258546235825	0,00304586174273158	0,284461453764175
0,770250799533854	0,481896009478903	0,00553079953385438	0,282823990521097
0,760836028928831	0,481032953251582	0,003883971071169	0,283687046748418
0,761249625120504	0,488120330098503	0,00347037487949609	0,276599669901497
0,757289699098279	0,472700253991819	0,00743030090172103	0,292019746008181
0,763582880817273	0,474760356206091	0,00113711918272652	0,289959643793909
0,769194942371224	0,473478628586381	0,00447494237122381	0,291241371413619
0,768020170019489	0,471761722132904	0,00330017001948912	0,292958277867096
0,763407660315976	0,483335198444482	0,00131233968402356	0,281384801555518
0,758221867611248	0,478931867137499	0,00649813238875185	0,285788132862501
0,76723876128961	0,48626197350856	0,00251876128961048	0,27845802649144
0,762206968804912	0,48102654774561	0,00251303119508817	0,28369345225439
0,757353247897065	0,47681111870815	0,00736675210293458	0,28790888129185
0,768789849560912	0,482150878079789	0,00406984956091194	0,282569121920211
0,772932946751298	0,470848327800268	0,00821294675129758	0,293871672199732
0,767817116760897	0,476914292775435	0,0030971167608973	0,287805707224565
0,771318832337419	0,474797210237422	0,00659883233741876	0,289922789762578
0,760319150263511	0,487100448585974	0,00440084973648858	0,277619551414026
0,763208546599882	0,473424067219287	0,00151145340011827	0,291295932780713
0,762270731520218	0,484243988236011	0,00244926847978211	0,280476011763989
0,75927588300278	0,479922498393529	0,00544411699721947	0,284797501606471
