DATE 	 ESTIMATED value 	 ACTUAL value
22/02/2012	1,07560661440701	1,06605
23/02/2012	1,07666454474935	1,06605
24/02/2012	1,07590107021052	1,06605
27/02/2012	1,07615737135899	1,06615
28/02/2012	1,07583472101174	1,06305
29/02/2012	1,07421862351916	1,0598
01/03/2012	1,07322556702737	1,05915
02/03/2012	1,07404920106681	1,0552
05/03/2012	1,07297687125763	1,0544
06/03/2012	1,07183229430603	1,0544
07/03/2012	1,06828942258642	1,0554
08/03/2012	1,06699877947722	1,0554
09/03/2012	1,06235944954097	1,0554
12/03/2012	1,06107095137963	1,0564
13/03/2012	1,06297340236335	1,0566
14/03/2012	1,06450902901541	1,0567
15/03/2012	1,06324044049325	1,0537
16/03/2012	1,06188671035114	1,0531
19/03/2012	1,06403185375495	1,0531
20/03/2012	1,0636417388208	1,0531
21/03/2012	1,06457963899725	1,0531
22/03/2012	1,06062034349844	1,0531
23/03/2012	1,05974137267227	1,0521
26/03/2012	1,05996473888797	1,0515
27/03/2012	1,05984866970805	1,05
28/03/2012	1,0597986967557	1,048
29/03/2012	1,05944519397595	1,0475
30/03/2012	1,05836072903814	1,0485
02/04/2012	1,05800718913905	1,0497
03/04/2012	1,05598678580531	1,0497
04/04/2012	1,05432217403025	1,0497
05/04/2012	1,05400484799189	1,0507
06/04/2012	1,05493100668095	1,04912439674674
09/04/2012	1,05587788622457	1,05068375940713
10/04/2012	1,05591243027526	1,0507
11/04/2012	1,05508987780644	1,0507
12/04/2012	1,05611160820553	1,0492
13/04/2012	1,05521884612064	1,0487
16/04/2012	1,05662202629447	1,0502
17/04/2012	1,0567009353366	1,0482
18/04/2012	1,05650543971027	1,0472
19/04/2012	1,05477566210168	1,0472
20/04/2012	1,05446761161479	1,0477
23/04/2012	1,05555999846154	1,0477
24/04/2012	1,05407287462357	1,0477
25/04/2012	1,0529260460357	1,0472
26/04/2012	1,05308762029324	1,0472
27/04/2012	1,05253165028068	1,0472
30/04/2012	1,05299216561315	1,0472
01/05/2012	1,05336459583309	1,0472
02/05/2012	1,05279854715376	1,0472
03/05/2012	1,0527697751344	1,0492
04/05/2012	1,05211385963342	1,0492
07/05/2012	1,05240904508947	1,04594157654661
08/05/2012	1,05187612291166	1,0492
09/05/2012	1,05255219136352	1,0527
10/05/2012	1,05447254288937	1,0547
11/05/2012	1,05392253434743	1,0557
14/05/2012	1,05114023728768	1,05895
15/05/2012	1,05427817292114	1,06145
16/05/2012	1,05817800699048	1,06795
17/05/2012	1,05968155493079	1,06795
18/05/2012	1,06048693577458	1,06895
21/05/2012	1,06398292132749	1,0692
22/05/2012	1,06626928260405	1,0692
23/05/2012	1,07340282053412	1,0692
24/05/2012	1,07248254144186	1,0692
25/05/2012	1,07385471690208	1,0692
28/05/2012	1,07407497698502	1,0692
29/05/2012	1,07425211922859	1,0692
30/05/2012	1,07398673827985	1,0692
31/05/2012	1,07402074858639	1,0692
01/06/2012	1,07359361198228	1,0707
04/06/2012	1,07412320550752	1,07208721882187
05/06/2012	1,07383488213823	1,06884585811147
06/06/2012	1,07410171987067	1,0707
07/06/2012	1,07359595840626	1,0697
08/06/2012	1,07504946845916	1,0702
11/06/2012	1,07670799431856	1,0702
12/06/2012	1,07343109359227	1,0707
13/06/2012	1,07486499272748	1,0707
14/06/2012	1,07397291923823	1,0712
15/06/2012	1,07430937941556	1,0695
18/06/2012	1,0741432175677	1,0695
19/06/2012	1,07487439928339	1,0695
20/06/2012	1,07486910505741	1,0685
21/06/2012	1,07515565837665	1,0685
22/06/2012	1,07338668775745	1,0685
25/06/2012	1,07337183889722	1,066
26/06/2012	1,07315452127539	1,067
27/06/2012	1,07225670764576	1,0675
28/06/2012	1,07265181151358	1,068
29/06/2012	1,07217783167654	1,068
02/07/2012	1,06990224150582	1,0695
03/07/2012	1,07067655150257	1,0695
04/07/2012	1,07096878034434	1,0695
05/07/2012	1,07157051470236	1,0695
06/07/2012	1,07154347252364	1,0695
09/07/2012	1,07279035448099	1,0695
10/07/2012	1,07278340521257	1,0695
11/07/2012	1,0727808280632	1,0695
12/07/2012	1,07295574269587	1,0685
13/07/2012	1,07284965123869	1,067
16/07/2012	1,07277581432521	1,066
17/07/2012	1,07249649962388	1,066
18/07/2012	1,07290647621652	1,066
19/07/2012	1,07172228524187	1,0645
20/07/2012	1,07022509308057	1,064
23/07/2012	1,06939537798604	1,063
24/07/2012	1,06904586856596	1,0615
25/07/2012	1,06919427890105	1,0615
26/07/2012	1,06760694911209	1,0605
27/07/2012	1,06713363168322	1,0605
30/07/2012	1,06608989871845	1,0585
31/07/2012	1,06479854391993	1,0535
01/08/2012	1,06460058337359	1,047
02/08/2012	1,06362054892648	1,0482
03/08/2012	1,06364064373972	1,0462
06/08/2012	1,06171353006125	1,0472
07/08/2012	1,05676359305327	1,0472
08/08/2012	1,05066107947895	1,0465
09/08/2012	1,05163199243183	1,0465
10/08/2012	1,04981868584764	1,0465
13/08/2012	1,05081200642841	1,046
14/08/2012	1,05047056498969	1,046
15/08/2012	1,05011326071169	1,045
16/08/2012	1,04988387569137	1,044
17/08/2012	1,0499588929847	1,044
20/08/2012	1,04941860567935	1,044
21/08/2012	1,04958560117872	1,042
22/08/2012	1,04856205954638	1,041
23/08/2012	1,04755529762475	1,04
24/08/2012	1,0478700023964	1,0365
27/08/2012	1,04794467385207	1,03605513061631
28/08/2012	1,04608345327245	1,035
29/08/2012	1,04482713638912	1,034
30/08/2012	1,04396531918374	1,033
31/08/2012	1,04062282855957	1,032
03/09/2012	1,04007746514263	1,0295
04/09/2012	1,03907823404541	1,027
05/09/2012	1,03831490286257	1,0265
06/09/2012	1,03755857669289	1,0245
07/09/2012	1,03662570375262	1,024
10/09/2012	1,03437819279248	1,0175
11/09/2012	1,0320275028119	1,0145
12/09/2012	1,03180693893612	1,008
13/09/2012	1,02993573879647	1,004
14/09/2012	1,0294667796623	0,997
17/09/2012	1,02378146936092	0,992
18/09/2012	1,0211110838258	0,9895
19/09/2012	1,01523846216941	0,9875
20/09/2012	1,0113860371652	0,98525
21/09/2012	1,00486944595535	0,9845
24/09/2012	1,00025270165438	0,98225
25/09/2012	0,997415868364884	0,97825
26/09/2012	0,995291071759735	0,975
27/09/2012	0,992906234392117	0,97575
28/09/2012	0,992020464939833	0,973
01/10/2012	0,989729404315811	0,96675
02/10/2012	0,985719068316359	0,9615
03/10/2012	0,982608248424754	0,959
04/10/2012	0,983106665469895	0,9565
05/10/2012	0,980201613063406	0,9545
08/10/2012	0,97382136499757	0,9535
09/10/2012	0,968216767643705	0,952
10/10/2012	0,965687793100424	0,9445
11/10/2012	0,962419195181101	0,9415
12/10/2012	0,960131204007802	0,936
15/10/2012	0,958878350482186	0,929
16/10/2012	0,957121685314618	0,918
17/10/2012	0,948366021190827	0,9055
18/10/2012	0,944197079467911	0,901
19/10/2012	0,937577341537519	0,8965
22/10/2012	0,928555861099226	0,8905
23/10/2012	0,914572452993785	0,888
24/10/2012	0,897989474467782	0,8815
25/10/2012	0,891196251290039	0,8805
26/10/2012	0,884510936196124	0,8805
29/10/2012	0,875763141003709	0,8775
30/10/2012	0,871575008717861	0,8775
31/10/2012	0,861227337859202	0,8755
01/11/2012	0,859805292236824	0,8755
02/11/2012	0,860334128027452	0,875
05/11/2012	0,856160161842395	0,87375
06/11/2012	0,856918767328348	0,8715
07/11/2012	0,853780031055048	0,866
08/11/2012	0,854560495640466	0,862
09/11/2012	0,854479878139756	0,862
12/11/2012	0,853498991698064	0,862
13/11/2012	0,8509468079198	0,8615
14/11/2012	0,844429408512873	0,8605
15/11/2012	0,839932310119342	0,8595
16/11/2012	0,84077953731783	0,86
19/11/2012	0,842004347878774	0,86
20/11/2012	0,842025690229649	0,86
21/11/2012	0,841660598731271	0,861
22/11/2012	0,840825744028079	0,86
23/11/2012	0,842201461745593	0,859
26/11/2012	0,843342394503729	0,86
27/11/2012	0,843934896049563	0,86
28/11/2012	0,845603085276435	0,86
29/11/2012	0,8448164411126	0,861
30/11/2012	0,844270159342727	0,86
03/12/2012	0,846023038160856	0,86
04/12/2012	0,846534434133107	0,859
05/12/2012	0,847227640627628	0,859
06/12/2012	0,848826361673239	0,855
07/12/2012	0,847821097973337	0,853
10/12/2012	0,848407986816389	0,853
11/12/2012	0,847574727897826	0,852
12/12/2012	0,848237722627624	0,8495
13/12/2012	0,843705041379465	0,846
14/12/2012	0,841884927283523	0,844
17/12/2012	0,84283860718969	0,8425
18/12/2012	0,841249309045919	0,8425
19/12/2012	0,838970036001562	0,843
20/12/2012	0,835009698543488	0,843
21/12/2012	0,833293846521002	0,843
24/12/2012	0,831639766385239	0,843
25/12/2012	0,832039479624038	0,851751764726266
26/12/2012	0,832864439144238	0,854315827687504
27/12/2012	0,83309226299297	0,8435
28/12/2012	0,833217739907162	0,8435
31/12/2012	0,833492370223869	0,8435
01/01/2013	0,843504351796609	0,846481234086341
02/01/2013	0,846282680059681	0,8425
03/01/2013	0,834230681181414	0,8395
04/01/2013	0,834647787699848	0,8385
07/01/2013	0,834592095150941	0,8345
08/01/2013	0,838250391087219	0,8345
09/01/2013	0,833999359744506	0,834
10/01/2013	0,830577404797943	0,823
11/01/2013	0,829756490829572	0,821
14/01/2013	0,825801011853823	0,819
15/01/2013	0,825584984495358	0,814
16/01/2013	0,825379134811471	0,8095
17/01/2013	0,813029934589652	0,81
18/01/2013	0,810753708357412	0,809
21/01/2013	0,808579493969612	0,809
22/01/2013	0,803159510059359	0,809
23/01/2013	0,798265786566658	0,8075
24/01/2013	0,798828678881205	0,7985
25/01/2013	0,798142006702962	0,7965
28/01/2013	0,798442154111694	0,7975
29/01/2013	0,79838351435304	0,7955
30/01/2013	0,797077631922197	0,7905
31/01/2013	0,78689226626317	0,781
01/02/2013	0,784782500999242	0,777
04/02/2013	0,786362816968433	0,773
05/02/2013	0,784259452853676	0,7705
06/02/2013	0,778743824370904	0,7695
07/02/2013	0,768006896995158	0,7675
08/02/2013	0,763669066254554	0,766
11/02/2013	0,759529220771602	0,765
12/02/2013	0,756941761594957	0,764
13/02/2013	0,756227998131583	0,762
14/02/2013	0,754279576413451	0,7625
